City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
166,yarmouth,41.7057,-70.2286,295.27,82,90,4.47,US,light rain
167,mezdra,43.15,23.7,300.81,43,0,1.44,BG,clear sky
168,adre,13.4667,22.2,295.56,93,82,5.68,TD,broken clouds
169,yulara,-25.2406,130.9889,281.06,57,69,2.06,AU,broken clouds
170,thompson,55.7435,-97.8558,287.24,54,75,5.14,CA,broken clouds
171,souillac,-20.5167,57.5167,295.36,60,40,5.14,MU,scattered clouds
172,tekeli,44.83,78.8239,293.22,32,1,3.31,KZ,clear sky
173,razole,16.4833,81.8333,301.05,82,66,2.44,IN,broken clouds
174,hilo,19.7297,-155.09,298.04,90,90,1.54,US,moderate rain
175,tautira,-17.7333,-149.15,297.16,67,2,4.5,PF,clear sky
176,nome,64.5011,-165.4064,282.19,87,90,4.63,US,overcast clouds
177,salalah,17.0151,54.0924,299.2,94,75,3.09,OM,broken clouds
178,hualmay,-11.0964,-77.6139,292.8,73,23,3.9,PE,few clouds
179,baykit,61.67,96.37,292.31,70,51,1.29,RU,broken clouds
180,longyearbyen,78.2186,15.6401,280.06,87,75,4.63,SJ,broken clouds
181,de aar,-30.6497,24.0123,280.19,27,15,2.47,ZA,few clouds
182,saldanha,-33.0117,17.9442,289.18,54,100,5.05,ZA,overcast clouds
183,acapulco,16.8634,-99.8901,304.05,70,40,2.06,MX,scattered clouds
184,beloha,-25.1667,45.05,289.35,61,12,4.29,MG,few clouds
185,aksu,41.1231,80.2644,304.41,23,0,0.27,CN,clear sky
186,kampot,10.6167,104.1833,299.18,88,87,3.69,KH,overcast clouds
187,georgetown,5.4112,100.3354,302.53,83,20,1.03,MY,few clouds
188,victoria,22.2855,114.1577,303.36,83,20,2.24,HK,few clouds
189,belushya guba,22.2855,114.1577,303.36,83,20,2.24,HK,few clouds
190,tasiilaq,65.6145,-37.6368,281.24,87,66,2.28,GL,broken clouds
191,vaitupu,65.6145,-37.6368,281.24,87,66,2.28,GL,broken clouds
192,ngunguru,-35.6167,174.5,287.68,93,100,9.13,NZ,moderate rain
193,narsaq,60.9167,-46.05,287.27,48,100,1.94,GL,overcast clouds
194,kamaishi,39.2667,141.8833,294.68,90,62,2.23,JP,broken clouds
195,fortuna,40.5982,-124.1573,287.58,96,90,0.0,US,overcast clouds
196,strezhevoy,60.7333,77.5889,288.14,98,99,1.59,RU,light rain
197,terme,41.2092,36.9739,298.11,87,15,3.28,TR,few clouds
198,bathsheba,13.2167,-59.5167,304.49,74,75,8.23,BB,broken clouds
199,urumqi,43.801,87.6005,301.68,23,0,2.0,CN,clear sky
200,cherskiy,68.75,161.3,278.69,72,27,3.37,RU,scattered clouds
201,chifeng,42.2683,118.9636,295.99,85,99,2.31,CN,overcast clouds
202,chicama,-7.8447,-79.1469,293.45,62,71,3.97,PE,broken clouds
203,tokur,53.1333,132.9,286.81,97,2,1.29,RU,clear sky
204,bandarbeyla,9.4942,50.8122,299.74,63,71,11.82,SO,broken clouds
205,pacific grove,36.6177,-121.9166,296.83,87,40,2.24,US,scattered clouds
206,praia,14.9215,-23.5087,300.45,57,20,7.2,CV,few clouds
207,saint-augustin,51.226,-58.6502,298.43,45,72,5.81,CA,broken clouds
208,lakatoro,-16.0999,167.4164,298.52,86,58,1.75,VU,broken clouds
209,benguela,-12.5763,13.4055,294.46,81,2,1.56,AO,clear sky
210,dingli,35.8614,14.3822,301.38,51,0,3.09,MT,clear sky
211,bengkulu,-3.8004,102.2655,297.31,90,2,2.16,ID,clear sky
212,kruisfontein,-34.0033,24.7314,285.21,45,59,1.4,ZA,broken clouds
213,gorele,41.0308,39.0031,298.84,80,48,1.78,TR,scattered clouds
214,semey,50.4111,80.2275,301.27,30,0,3.0,KZ,clear sky
215,talnakh,69.4865,88.3972,286.65,94,100,2.83,RU,overcast clouds
216,rawson,-43.3002,-65.1023,284.49,33,18,8.72,AR,few clouds
217,chitral,35.8462,71.7858,302.42,59,0,1.62,PK,clear sky
218,lotofaga,-13.9764,-171.8578,297.03,72,46,6.31,WS,scattered clouds
219,san policarpo,12.1791,125.5072,300.69,77,60,4.59,PH,broken clouds
220,makokou,0.5738,12.8642,297.18,73,97,1.03,GA,overcast clouds
221,grand-santi,4.25,-54.3833,303.08,61,56,2.01,GF,broken clouds
222,isangel,-19.55,169.2667,296.95,88,77,5.3,VU,broken clouds
223,alexander city,32.944,-85.9539,305.6,66,75,2.06,US,broken clouds
224,tamazulapam,32.944,-85.9539,305.6,66,75,2.06,US,broken clouds
225,ambilobe,-13.2,49.05,292.85,76,88,1.59,MG,overcast clouds
226,dalupirip,16.3258,120.7256,297.07,97,100,1.72,PH,moderate rain
227,singaraja,-8.112,115.0882,297.35,72,22,0.95,ID,few clouds
228,goderich,43.7501,-81.7165,300.95,78,0,4.12,CA,clear sky
229,umuarama,-23.7664,-53.325,301.34,29,0,5.81,BR,clear sky
230,baijiantan,45.6333,85.1833,305.5,17,0,3.86,CN,clear sky
231,mitchell,43.7094,-98.0298,304.88,50,1,4.47,US,clear sky
232,bethel,41.3712,-73.414,298.91,86,90,0.45,US,overcast clouds
233,wildeshausen,52.9,8.4333,299.32,67,39,1.93,DE,scattered clouds
234,grado,43.388,-6.0743,293.52,84,40,1.54,ES,scattered clouds
235,paita,-5.0892,-81.1144,297.46,70,20,5.47,PE,few clouds
236,mamanguape,-6.8386,-35.1261,298.33,59,45,6.61,BR,scattered clouds
237,naze,28.3667,129.4833,298.69,88,100,8.37,JP,light rain
238,tazovskiy,67.4667,78.7,285.19,81,99,3.78,RU,overcast clouds
239,fairbanks,64.8378,-147.7164,289.94,76,90,0.0,US,overcast clouds
240,siilinjarvi,63.0833,27.6667,297.16,43,0,1.54,FI,clear sky
241,katav-ivanovsk,54.7531,58.1956,285.65,63,90,1.65,RU,overcast clouds
242,palmer,42.1584,-72.3287,295.92,82,90,2.24,US,overcast clouds
243,quang ngai,15.1167,108.8,300.92,67,99,1.97,VN,overcast clouds
244,sao filipe,14.8961,-24.4956,296.62,73,56,3.44,CV,broken clouds
245,itarema,-2.9248,-39.9167,303.34,52,47,8.13,BR,scattered clouds
246,los llanos de aridane,28.6585,-17.9182,296.0,82,20,7.2,ES,few clouds
247,hirara,24.8,125.2833,301.71,91,100,5.74,JP,overcast clouds
248,erzin,36.9559,36.2,302.44,84,0,1.73,TR,clear sky
249,haines junction,60.7522,-137.5108,285.12,66,97,1.54,CA,overcast clouds
250,laguna,38.421,-121.4238,311.17,48,1,1.54,US,clear sky
251,balgazyn,51.0,95.2,288.84,94,97,0.98,RU,overcast clouds
252,slobozia,46.7281,29.7078,299.64,47,45,2.1,MD,scattered clouds
253,khatanga,71.9667,102.5,283.34,83,54,3.24,RU,broken clouds
254,faanui,-16.4833,-151.75,298.58,66,2,5.86,PF,clear sky
255,najran,17.4924,44.1277,306.51,24,100,3.82,SA,overcast clouds
256,balingasay,16.3573,119.8564,301.22,84,100,9.23,PH,light rain
257,dinguiraye,11.3,-10.7167,298.98,84,100,0.66,GN,light rain
258,fort frances,48.5999,-93.4003,301.02,39,1,0.89,CA,clear sky
259,baturaja,-4.1333,104.1667,294.61,92,1,1.35,ID,clear sky
260,banda aceh,5.5577,95.3222,299.92,83,92,2.7,ID,overcast clouds
261,carutapera,-1.195,-46.02,303.74,54,75,3.75,BR,broken clouds
262,buala,-8.145,159.5921,299.38,84,69,3.17,SB,light rain
263,leningradskiy,69.3833,178.4167,276.27,90,100,2.07,RU,overcast clouds
264,sobolevo,54.4299,31.8996,292.93,61,40,1.89,RU,scattered clouds
265,aklavik,68.2191,-135.0107,286.15,76,75,7.72,CA,broken clouds
266,yuzhnyy,53.2542,83.6936,297.36,50,40,1.0,RU,scattered clouds
267,liverpool,53.4106,-2.9779,297.56,62,20,3.13,GB,few clouds
268,mujiayingzi,42.1167,118.7833,295.08,85,98,2.91,CN,overcast clouds
269,ludvika,60.1496,15.1878,300.04,38,4,2.76,SE,clear sky
270,marcona,60.1496,15.1878,300.04,38,4,2.76,SE,clear sky
271,kramat,-8.1311,113.4499,293.17,77,51,1.07,ID,broken clouds
272,santarem,-2.4431,-54.7083,305.22,58,20,5.14,BR,few clouds
273,arraial do cabo,-22.9661,-42.0278,299.13,69,0,8.75,BR,clear sky
274,grand river south east,-22.9661,-42.0278,299.13,69,0,8.75,BR,clear sky
275,plouzane,48.3833,-4.6167,294.2,73,75,5.14,FR,broken clouds
276,manokwari,-0.8667,134.0833,298.72,77,98,2.16,ID,overcast clouds
277,cockburn town,21.4612,-71.1419,303.13,70,40,3.09,TC,scattered clouds
278,tunceli,39.1083,39.5471,305.31,26,2,0.29,TR,clear sky
279,kouroussa,10.65,-9.8833,298.94,80,100,2.36,GN,overcast clouds
280,khandagayty,50.7333,92.05,289.55,74,90,3.28,RU,overcast clouds
281,toliary,50.7333,92.05,289.55,74,90,3.28,RU,overcast clouds
282,sessa aurunca,41.2408,13.9328,304.07,41,90,2.32,IT,overcast clouds
283,gasa,31.5,34.4667,302.54,75,0,5.72,PS,clear sky
284,arlit,18.7369,7.3853,314.16,11,2,3.67,NE,clear sky
285,diu,20.7141,70.9822,299.59,85,100,6.19,IN,heavy intensity rain
286,cabra,37.4725,-4.4421,305.84,25,1,0.45,ES,clear sky
287,praia da vitoria,38.7333,-27.0667,295.29,88,75,5.35,PT,light intensity drizzle
288,khomeynishahr,38.7333,-27.0667,295.29,88,75,5.35,PT,light intensity drizzle
289,babanusah,38.7333,-27.0667,295.29,88,75,5.35,PT,light intensity drizzle
290,ust-kuyga,70.0167,135.6,283.74,75,32,1.41,RU,scattered clouds
291,kamenskoye,70.0167,135.6,283.74,75,32,1.41,RU,scattered clouds
292,sokoto,13.0609,5.239,304.17,52,87,2.62,NG,light rain
293,tres arroyos,-38.3739,-60.2798,285.72,64,99,5.88,AR,overcast clouds
294,barentsburg,-38.3739,-60.2798,285.72,64,99,5.88,AR,overcast clouds
295,attawapiskat,-38.3739,-60.2798,285.72,64,99,5.88,AR,overcast clouds
296,broome,42.2506,-75.833,302.34,73,40,0.45,US,scattered clouds
297,kutum,14.2,24.6667,294.02,81,96,5.85,SD,overcast clouds
298,pietermaritzburg,-29.6168,30.3928,285.24,61,0,1.13,ZA,clear sky
299,nishihara,26.1842,127.7558,299.96,94,75,5.14,JP,broken clouds
300,condado,21.8767,-79.8403,306.24,62,55,2.03,CU,broken clouds
301,ankara,39.9199,32.8543,299.9,27,0,0.45,TR,clear sky
302,mogadishu,2.0371,45.3438,297.65,79,36,9.77,SO,light rain
303,maningrida,-12.0667,134.2667,292.9,96,42,3.43,AU,scattered clouds
304,lolua,-12.0667,134.2667,292.9,96,42,3.43,AU,scattered clouds
305,bolungarvik,-12.0667,134.2667,292.9,96,42,3.43,AU,scattered clouds
306,llangefni,53.2556,-4.3106,294.32,60,76,3.6,GB,broken clouds
307,kodiak,57.79,-152.4072,283.35,91,70,0.57,US,broken clouds
308,wanning,18.8003,110.3967,299.66,90,86,5.04,CN,overcast clouds
309,huarmey,-10.0681,-78.1522,293.29,73,17,3.76,PE,few clouds
310,ocos,14.5094,-92.1933,307.44,73,79,3.07,GT,broken clouds
311,padang,-0.9492,100.3543,298.82,85,30,1.46,ID,scattered clouds
312,kayseri,38.737,35.4968,300.16,29,20,2.06,TR,few clouds
313,alice springs,-23.7,133.8833,285.9,35,84,2.57,AU,broken clouds
314,nogliki,51.8333,143.1667,293.67,87,50,4.99,RU,heavy intensity rain
315,le vauclin,14.5452,-60.8388,305.18,66,75,5.14,MQ,broken clouds
316,houma,29.5958,-90.7195,308.15,78,40,1.54,US,scattered clouds
317,magadan,59.5667,150.8,284.79,98,100,2.17,RU,light rain
318,kamenka,51.3223,42.7678,291.22,54,84,2.83,RU,broken clouds
319,egvekinot,66.3167,-179.1667,279.97,91,100,0.74,RU,overcast clouds
320,omboue,-1.5746,9.2618,296.46,78,83,3.76,GA,broken clouds
321,vicuna,-30.0319,-70.7081,291.91,35,2,3.3,CL,clear sky
322,suslonger,56.3156,48.2531,290.55,49,49,2.1,RU,scattered clouds
323,piacabucu,-10.4056,-36.4344,297.63,80,24,5.1,BR,few clouds
324,gravdal,68.1214,13.5031,285.09,94,75,3.6,NO,broken clouds
325,lorengau,-2.0226,147.2712,299.0,84,20,4.15,PG,few clouds
326,cascais,38.6979,-9.4215,297.07,71,75,4.47,PT,broken clouds
327,tabas,33.5959,56.9244,308.53,8,0,7.35,IR,clear sky
328,katsuura,35.1333,140.3,300.43,86,8,5.11,JP,clear sky
329,saint anthony,45.0205,-93.218,306.07,30,1,1.34,US,clear sky
330,fukumitsu,36.55,136.8667,299.37,88,6,1.58,JP,clear sky
331,husavik,66.0449,-17.3389,286.1,67,100,1.85,IS,overcast clouds
332,kyzyl-suu,42.3414,78.0056,293.67,23,0,3.06,KG,clear sky
333,manaure,11.7751,-72.4445,300.58,77,100,3.79,CO,light rain
334,college,64.8569,-147.8028,289.93,76,75,2.06,US,broken clouds
335,juneau,58.3019,-134.4197,287.15,93,75,0.0,US,fog
336,kitgum,3.2783,32.8867,294.26,69,100,1.68,UG,overcast clouds
337,eregli,37.5133,34.0467,296.1,32,13,1.73,TR,few clouds
338,wagar,16.1525,36.2032,302.47,62,48,3.44,SD,scattered clouds
339,freeport,40.6576,-73.5832,302.76,80,90,4.92,US,overcast clouds
340,vardo,70.3705,31.1107,283.26,93,75,8.75,NO,broken clouds
341,ryotsu,38.0833,138.4333,298.78,83,2,1.91,JP,clear sky
342,iqaluit,63.7506,-68.5145,281.0,93,90,1.79,CA,mist
343,lushunkou,63.7506,-68.5145,281.0,93,90,1.79,CA,mist
344,tongliao,43.6125,122.2653,295.88,89,100,2.7,CN,overcast clouds
345,hamilton,39.1834,-84.5333,305.93,68,40,0.45,US,scattered clouds
346,sentyabrskiy,39.1834,-84.5333,305.93,68,40,0.45,US,scattered clouds
347,qibili,39.1834,-84.5333,305.93,68,40,0.45,US,scattered clouds
348,makungu,-8.7333,35.2833,284.04,66,41,0.91,TZ,scattered clouds
349,gazimurskiy zavod,51.5461,118.3266,284.28,99,42,1.37,RU,scattered clouds
350,kautokeino,69.0125,23.0412,287.56,72,93,0.97,NO,overcast clouds
351,nha trang,12.25,109.1833,302.15,75,28,3.26,VN,scattered clouds
352,ahuimanu,21.4447,-157.8378,299.99,78,40,5.66,US,light rain
353,osiao,13.0914,123.9811,300.97,79,84,7.28,PH,broken clouds
354,loiza,18.4313,-65.8802,304.16,79,75,2.57,PR,thunderstorm
355,chuy,-33.6971,-53.4616,293.18,79,61,4.63,UY,broken clouds
